,Contexto,Documento,Pregunta,Respuesta,Modelo,Indice original
0,"La Constitución Española20 reconoce y protege “el derecho a comunicar o recibir libremente información veraz. La Ley regulará el derecho a la cláusula de conciencia y al secreto profesional en el ejercicio de las estas libertades”. Igualmente dispone que “la ley regulará los casos en que, por razón de parentesco o de secreto profesional, no se estará obligado a declarar sobre hechos presuntamente delictivos”21. Aunque el secreto profesional aparece mencionado en los artículos transcritos referidos a los derechos de comunicación, información y defensa, está también directamente relacionado con la protección de otros derechos fundamentales. Así se constituye en una figura jurídica compleja que es una pieza clave en la salvaguarda de distintos derechos fundamentales. La intimidad como derecho de la personalidad constituye un fundamento jurídico genérico o básico de la institución del secreto profesional. Directamente relacionado con la intimidad está lo que se conoce como esfera de la int",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Qué medidas puede tomar el médico para ayudar a prevenir el suicidio?," El médico puede proporcionar orientación y apoyo a un paciente en riesgo de suicidio, como ayudarles a desarrollar un plan para la gestión de sus problemas, proporcionarles acceso a recursos de salud mental y ayudarles a identificar y manejar cualquier condición médica subyacente que pueda estar contribuyendo a su riesgo de suicidio.",bertin-project/bertin-gpt-j-6B-alpaca,0
1,"que en última instancia, en su articulación, producen las series estadísticas. 3 Schmidtke, 1991 en Rodao JM 1997 4 Sarró y de la Cruz, 1991, en Rodao JM, 1997 5 Gutiérrez 1995 en Rodao J:M 1997). 6 Gutierrez García JM, 1996 7 Gutiérrez, 1995 3 1 a n i g á P 4 LAS CONDUCTAS SUICIDAS EN NAVARRA. Las distorsiones de la realidad producidas por las estadísticas de suicidio derivarían, por lo tanto, de cuatro fuentes diferentes pero interrelacionadas: (cid:157) (cid:157) (cid:157) (cid:157) El veredicto médico-forense-judicial. El grado de aceptación-rechazo social del suicidio. Los métodos de registro. Las dificultades diagnósticas. A pesar de estas dificultades, existen datos sobre los que hay acuerdo entre la mayoría de estudiosos y a ellos nos remitimos en este capítulo. La Organización Mundial de la Salud estima que en torno a un millón de personas fallecen en el mundo anualmente a causa de suicidio, lo que supone una muerte cada 40 segundos. Habría que multiplicar hasta por 20 estas c",000ProtocoloPrevencionSuicidio3 Navarra.pdf,"¿Cuál es la tasa de suicidio por cada 100,000 personas en España?"," La tasa de suicidio por cada 100,000 personas en España es aproximadamente de 10.3 por cada 100,000 personas. ",bertin-project/bertin-gpt-j-6B-alpaca,1
2,"La elaboración de la Guía de Práctica Clínica de Prevención y Tratamiento de la Conducta Suicida del Ministerio de Sanidad contribuye a reducir la variabilidad de la práctica clínica en el manejo de la conducta suicida, ayuda a la toma de decisiones por parte de los profesionales sanitarios y pretende la mejora en la salud y calidad de vida de la población. Mejora la información de pacientes, familiares y ciudadanía de modo que logre reducir el estigma asociado a este problema de salud. La recomendación general del Sistema Nacional de Salud consiste en que las intervenciones se basen en las características específicas de la población en la que se pretende prevenir la conducta suicida, por lo que si esos datos no están disponibles, el primer paso sería realizar estudios exploratorios en cuyos resultados puedan basarse posteriormente las indicaciones23. La prevención del suicidio en la población general, donde el suicidio es un fenómeno raro, es muy compleja. Los esfuerzos deben centrars",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es el propósito de la Guía de Práctica Clínica de Prevención y Tratamiento de la Conducta Suicida del Ministerio de Sanidad?,"El propósito de la Guía de Práctica Clínica de Prevención y Tratamiento de la Conducta Suicida del Ministerio de Sanidad es reducir la variabilidad de la práctica clínica en el manejo de la conducta suicida, ayudar a la toma de decisiones por parte de los profesionales sanitarios y mejorar la salud y calidad de vida de la población.",bertin-project/bertin-gpt-j-6B-alpaca,2
3,"El médico de AP es en muchos casos el primer profesional que contacta con una persona con ideación suicida. Ninguna estrategia va a resultar útil sino se ha detectado o evaluado previamente el grado de intencionalidad suicida. Según la última recomendación de U.S. Preventive Services Task Force de mayo de 2014 sobre riesgo de suicidio en adolescentes, adultos y mayores en Atención primaria, no hay evidencias para potenciar el screening de riesgo de suicidio a población general en primaria. Sí estaría indicado en aquellas personas con síntomas o antecedentes de trastorno mental o intentos de suicidio previos. Se sugiere que la reducción de la tasa de suicidio solo podrá lograrse si se mejora la capacidad de AP en reconocer y tratar los trastornos mentales. Así, la principal medida preventiva sería capacitar a los profesionales en el abordaje diagnóstico y psicoterapéutico26. 25 Luoma JB, Martin CE, Pearson JL. Contact with mental health and primary care providers before suicide: a revie",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es una medida preventiva para reducir la tasa de suicidio?,Una medida preventiva para reducir la tasa de suicidio es mejorar la capacidad de los profesionales de Atención primaria en el abordaje diagnóstico y psicoterapéutico de los trastornos mentales.,bertin-project/bertin-gpt-j-6B-alpaca,3
4,"Cómo dialogar sobre el tema. Sentir enfado en el paciente. Sentir rechazo hacia el paciente. Falta de confianza por parte del paciente. Falta de tiempo. Obtener colaboración de la familia. Ajuste inadecuado. Falta de estructuras sociales de ayuda. Trabajar con la familia. Ausencia de un equipo multidisciplinar. Aportación de un soporte a la familia. Como resumen, el estudio concluye que entre los grupos de la muestra, existen diferencias significativas en cuanto a las necesidades, y son los médicos generalistas (médicos de familia) quienes más inciden en las dificultades técnicas y consideran que la formación en este campo es fundamental. Aunque este estudio se basa en una muestra de profesionales sanitarios, no son éstos los únicos que se enfrentan en su trabajo a la posibilidad y efectos de las conductas suicidas en las personas a las que atienden. Educadores, trabajadores sociales, policías, profesionales de los servicios de urgencias, por citar algunos, deben estar preparados para ",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuáles son las necesidades de los médicos generalistas (médicos de familia) en cuanto a la formación en la prevención del suicidio?,"Los médicos generalistas (médicos de familia) necesitan formación en la prevención del suicidio para poder reconocer los signos y síntomas de las conductas suicidas, así como para poder proporcionar la ayuda necesaria a sus pacientes en riesgo de suicidio.",bertin-project/bertin-gpt-j-6B-alpaca,4
5,"La ideación suicida y la presencia de planificación aumentan considerablemente el riesgo de suicidio. Pero los intentos previos son el predictor más fuerte de riesgo suicida. Durante los seis primeros meses e incluso durante el primer año después del intento, el riesgo aumenta considerablemente (especialmente en el caso de los ancianos). 1 2 a n i g á P 5 FACTORES ASOCIADOS CON LA CONDUCTA SUICIDA. EEddaadd. Los momentos con más riesgo de intentos y de suicidios consumados a lo largo de la vida son la adolescencia y la edad avanzada. Dentro de estos grupos, los ancianos usan métodos más letales y presentan tasas de suicidio más elevadas. SSeexxoo. En líneas generales, los hombres presentan mayores tasas de suicidios consumados y utilizan métodos más letales, mientras que las mujeres presentan mayor número de intentos. Existen, de todos modos, diferencias culturales en cuanto al influjo de este factor (en China e India el suicidio es más frecuente en mujeres). FFaaccttoorreess ggeennéét",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es el riesgo de suicidio durante los primeros seis meses después de un intento?,El riesgo de suicidio durante los primeros seis meses después de un intento es considerablemente alto.,bertin-project/bertin-gpt-j-6B-alpaca,5
6,"En las tentativas de suicidio se diagnostica algún tipo de enfermedad médica en el 20-30% de los casos. 7.2.2. Protocolos en uso de prevención y actuación ante conductas suicidas en salud mental. PPrroottooccoolloo ddee pprreevveenncciióónn ddee llaass ccoonndduuccttaass ssuuiicciiddaass eenn llaass UUnniiddaaddeess ddee HHoossppiittaalliizzaacciióónn PPssiiqquuiiááttrriiccaass. (cid:157) Objetivo: extremar y ordenar las medidas de seguridad, ayudar al reconocimiento de signos y síntomas de riesgo, organizar la planificación de intervenciones y toma de decisiones y velar por la seguridad del paciente psiquiátrico ingresado. (cid:157) Define acciones necesarias que se deben llevar a cabo por los equipos de las Unidades durante el ingreso y tras el alta. (cid:157) Será aplicado a todos los pacientes que ingresen en las Unidades, especialmente aquellos con conducta suicida previa u otros factores de riesgo para el suicidio. Se hace extensivo a todos los psiquiatras y residentes de psiquia",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuáles son los protocolos en uso de prevención y actuación ante conductas suicidas en salud mental?," Los protocolos en uso de prevención y actuación ante conductas suicidas en salud mental incluyen la implementación de medidas de seguridad para el paciente psiquiátrico, la organización de la planificación de intervenciones y toma de decisiones, y la vigilancia de la seguridad del paciente psiquiátrico.",bertin-project/bertin-gpt-j-6B-alpaca,7
7,"En SMIJ se está trabajando en el seno del Comité de Mejora de Coordinación Atención Primaria/Salud Mental un documento que pretende mejorar la colaboración entre ambos niveles y explicita criterios de derivación de Atención Primaria a SM, así como la diferenciación entre trastorno y problema. Dicho documento recoge una parte específica para la conducta suicida y propone una guía para evaluar la conducta suicida en Atención Primaria, que se anexa en este documento y se adapta para el resto de ámbitos que trabajan con el menor. 0 5 a n i g á P ACTUACIÓN DEL SISTEMA DE SALUD ANTE EL SUICIDIO 7 Esta Guía de evaluación se ha adaptado y mejorado para este Protocolo e incluye recomendaciones sobre cómo y qué preguntar y es aplicable a todos los ámbitos que trabajan con el menor, ya sea Pediatría, Salud Mental, Educación y Servicios Sociales (Anexo3). Es evidente la necesaria colaboración en el área Infanto-Juvenil en todos los casos en los que la intervención supera el ámbito de Salud. La exi",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es el papel de los Servicios Sociales en la intervención con menores que presentan conductas suicidas?," Los Servicios Sociales tienen un papel importante en la intervención con menores que presentan conductas suicidas, ya que son los encargados de realizar la valoración del riesgo y derivar al menor al especialista correspondiente.",bertin-project/bertin-gpt-j-6B-alpaca,8
8,"(cid:157) Contextualización de este Modelo de prevención e intervención de conductas suicidas en cada centro educativo, incluyendo una “guía de evaluación de riesgo de conductas suicidas en menores”, de tal manera que se aprovechen las estructuras y procedimientos ya habituales en los centros educativos. (cid:157) Confirmación de la señal de alarma en las siguientes situaciones: (1) cuando cualquier docente detecte varios factores de riesgo, (2) cuando el orientador u orientadora aplique la guía de evaluación y constate el riesgo, (3) cuando una familia trasmita su preocupación sobre la situación emocional o la salud mental de su hijo o hija, (4) a partir del conocimiento de un recurso asistencial, (5) cuando se produzca una verbalización o (6) se presenten acontecimientos autolíticos. 7 5 a n i g á P 8 ACTUACIÓN DEL SISTEMA DE EDUCACIÓN ANTE EL SUICICIO. (cid:157) Activación del plan de prevención e intervención de la conducta suicida del centro, si se constata la situación de riesgo ",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es el propósito de la guía de evaluación de riesgo de conductas suicidas en menores?,"La guía de evaluación de riesgo de conductas suicidas en menores está diseñada para identificar y abordar los factores de riesgo de la conducta suicida en los menores, y proporcionar intervenciones de apoyo y recursos para ayudar a reducir el riesgo.",bertin-project/bertin-gpt-j-6B-alpaca,9
9,"(cid:157) Participación activa en la formación dirigida a las familias, en temáticas relacionadas con la educación socio-emocional y en valores éticos de sus hijos e hijas. (cid:157) Apertura para utilizar los recursos comunitarios (pediatría, salud mental, servicios sociales…). AAccttuuaacciioonneess ddeell DDeeppaarrttaammeennttoo ddee EEdduuccaacciióónn:: (cid:157) Diseño de actividades formativas sobre los temas de duelo y prevención de conductas suicidas, en cada plan anual de formación para el profesorado. (cid:157) Asesoramiento a las comunidades educativas a través de la Inspección Educativa y de la Asesoría para la Convivencia, en los casos en que se solicite. 8 5 a n i g á P ACTUACIÓN DEL SISTEMA DE EDUCACIÓN ANTE EL SUICIDIO. 8 (cid:157) Impulso de medidas de colaboración entre los centros educativos y otros la sensibilización y desarrollo de medidas profesionales especializados, para preventivas y recursos asistenciales. En este marco se sitúa el “Convenio de colaboración e",000ProtocoloPrevencionSuicidio3 Navarra.pdf,¿Cuál es el propósito del Convenio de colaboración entre los centros educativos y otros recursos asistenciales para prevenir el suicidio?,El propósito del Convenio de colaboración es desarrollar e implementar medidas preventivas y asistenciales para reducir el riesgo de suicidio en el alumnado y personal de los centros educativos.,bertin-project/bertin-gpt-j-6B-alpaca,10
